type,Lat,Lon,start year,end year,magnitude,extent,description of event,
Treaty,39.9042° N,116.4074° E,1901,1901,,,Boxer Protocol,Peace agreement between the Eight-Nation Alliance and China.
Treaty,51.5074° N,0.1278° W,1902,1902,,,Anglo-Japanese Alliance,Treaty of alliance between England and Japan; signed by Lord Lansdowne and Hayashi Tadasu.
Treaty,26.5969° S,27.9015° E,1902,1902,,,Treaty of Vereeniging,Ends the Second Boer War.
Treaty,,,1903,1903,,,Cuban–American Treaty of Relations (1903),The Republic of Cuba grants the United States the right to lease land in the Guantánamo Bay area.
Treaty,,,1903,1903,,,Hay–Herrán Treaty,The United States attempts to acquire a lease on Panama.
Treaty,,,1903,1903,,,Hay–Herbert Treaty,Between the United Kingdom and the United States on the location of the border between Alaska and Canada.
Treaty,,,1903,1903,,,Hay–Bunau-Varilla Treaty,Establishes the Panama Canal Zone.
Treaty,22.5113° S,43.1779° W,1903,1903,,,Treaty of Petrópolis,Ends tensions between Bolivia and Brazil over the territory of Acre.
Treaty,,,1903,1903,,,Southern African Customs Union Agreement,Creates customs union between British colonies and protectorates in Southern Africa.
Treaty,33.4489° S,70.6693° W,1904,1904,,,Treaty of Peace and Friendship (1904),Fixes borders between Chile and Bolivia.
Treaty,29.6525° N,91.1721° E,1904,1904,,,Treaty of Lhasa,Between Great Britain and Tibet.
Treaty,50.8198° N,1.0880° W,1905,1905,,,Treaty of Portsmouth,Ends the Russo-Japanese War.
Treaty,57.7303° N,11.6822° E,1905,1905,,,Treaty of Björkö,A secret mutual defense accord between the German Empire and Russia.
Treaty,,,1905,1905,,,October Manifesto,Response to Russian Revolution of 1905. Created the Duma but Tsar Nicholas II of Russia disregarded it after the country was stable again and continued his absolute rule.
Treaty,37.4563° N,126.7052° E,1905,1905,,,Taft–Katsura Agreement,Japan and the United States agree on spheres of influence in Asia.
Treaty,59.4022° N,13.5115° E,1905,1905,,,Convention of Karlstad,This treaty dissolves of the union between Norway and Sweden established by the Convention of Moss and Treaty of Kiel in 1814.
Treaty,,,1905,1905,,,Japan–Korea Treaty of 1905,"This treaty deprived Korean Empire of its diplomatic sovereignty, in effect making Korea a protectorate of Empire of Japan; void in 1965."
Treaty,,,1905,1905,,,Treaty 9 (James Bay Treaty),"Conducted at Osnaburgh House trade post, on Lake St. Joseph (Albany River), Ontario, Canada, negotiating an agreement between the Canadian monarch, King Edward VII, and First Nations. There were later adhesions to the treaty.[146]"
Treaty,46.2044° N,6.1432° E,1906,1906,,,Second Geneva Convention,"Specifies the treatment of wounded, sick and shipwrecked members of armed forces at sea."
Treaty,,,1906,1906,,,Treaty 10,"Conducted at Île-à-la-Crosse and Lac du Brochet, Saskatchewan, Canada, negotiating an agreement between the Canadian monarch, KingEdward VII, and First Nations. There were later adhesions to the treaty in 1907.[147]"
Treaty,22.9068° S,43.1729° W,1906,1906,,,Treaty of Limits (Brazil–Netherlands),Defined international boundary between Brazil and Dutch colony of Surinam
Treaty,13.7563° N,100.5018° E,1909,1909,,,Anglo-Siamese Treaty of 1909,Formally divides northern Malay states between Siam and the British Empire.
Treaty,,,1910,1910,,,Japan–Korea Treaty of 1910,Begins the period of Korea under Japanese rule; declared null and void in 1965.
Treaty,50.8503° N,4.3517° E,1910,1910,,,Brussels Collision Convention,Governs apportionment of legal liability in maritime collision cases.
