type,Lat,Lon,start year,end year,magnitude,extent,description of event
Civil war,,,1891,1891,,,"The Chilean Civil War of 1891, also known as Revolution of 1891 was an armed conflict between forces supporting Congress and forces supporting the President, José Manuel Balmaceda. The war saw a confrontation between the Chilean Army and the Chilean Navy, which sided with the president and the congress, respectively. This conflict ended with the defeat of the Chilean Army and the presidential forces and President Balmaceda committing suicide as a consequence."
Coups d'état,,,1891,1891,,,"The President of Brazil, Marshal Deodoro da Fonseca dissolved the National Congress and declared himself Dictator but soon after resigned after the Navy rebellion."
Coups d'état,,,1893,1893,,,"With the aid of U.S. Marines, U.S. Department of State Minister to the Kingdom of Hawaii, John L. Stevens backs businessmen of native and foreign nationality in a coup that deposes QueenLili'uokalani."
Rebellion,,,1893,1893,,,A liberal revolt brings José Santos Zelaya to power in Nicaragua.
War,,,1893,1894,,,The First Matabele War was fought between 1893 and 1894 in the country today called Zimbabwe. It pitted the British South Africa Company against the Ndebele (Matabele) Kingdom.
Civil war,,,1895,1898,,,"Cuban War of Independence (1895–1898), the last of three liberation wars that Cuba fought against Spain, being this initiated by Jose Marti."
Invasion,,,1895,1895,,,The Japanese invasion of Taiwan  (May–October 1895) was a conflict between the Empire of Japan and the armed forces of the short-lived Republic of Formosa following the Qing Dynasty's cession of Taiwan to Japan in April 1895 at the end of the First Sino-Japanese War.
Revolution,,,1895,1895,,,The revolution against President Andrés Avelino Cáceres in Peru ushers in a period of stable constitutional rule.
Revolution,,,1896,1898,,,"The Philippine Revolution, a war of independence against Spanish rule directed by the Katipunan society."
Coups d'état,,,1899,1899,,,Cipriano Castro's army overthrows the government of Ignacio Andrade in Venezuela.
War,,,1899,1902,,,"The Philippine–American War, an insurgency against the imposition of colonial rule by the United States following the transfer of the Philippines from Spain to the U.S. in the Treaty of Paris which ended the Spanish–American War"
Coups d'état,,,1903,1903,,,"The Black Hand group, composed of military officers and led by Col. Dragutin Dimitrijević Apis, killed Alexander I of Serbia in coup d'état named Majski Prevrat (May Overthrow)"
Revolution,,,1904,1904,,,"In 1904 the Liberal revolution against the rule of Colorados broke out. The Liberal rule started a period of great political instability. Between 1904 and 1954 Paraguay had thirty-one presidents, most of whom were removed from office by force"
Revolution,,,1905,1906,,,"The Persian Constitutional Revolution or Iranian Constitutional Revolution. The Revolution opened the way for cataclysmic change in Persia, heralding the modern era."
Coups d'état,,,1908,1908,,,Juan Vicente Gómez declares himself president of Venezuela after Cipriano Castro leaves for Europe to receive medical treatment.
Revolution,,,1908,1908,,,The Young Turk Revolution: Young Turks force the autocratic ruler Abdul Hamid II to restore parliament and constitution in the Ottoman Empire.
Coups d'état,,,1909,1909,,,The Goudi coup in Greece overthrows the Dimitrios Rallis government and calls for wide-ranging reforms.
Revolution,,,1910,1920,,,The Mexican Revolution overthrows the dictator Porfirio Díaz; seizure of power by the Institutional Revolutionary Party.
Revolution,,,1910,1910,,,"The establishment of the Portuguese Republic was the result of a coup d'état organised by the Portuguese Republican Party which, on 5 October 1910, deposed the constitutional monarchy and established a republican regime in Portugal."
