type,Lat,Lon,start year,end year,magnitude,extent,description of event
Riot,,,1881,1881,,,The Canboulay riots were riots by the descendants of freed slaves on the islands of Trinidad and Tobago against attempts by the British police to crack down on aspects of the celebration ofCarnival.
Riot,,,1884,1884,"22 dead, and over a hundred injured.",,"The Hosay massacre (also known as the Hosay riots or the Jahaji massacre) took place on Thursday 30 October 1884 in San Fernando, Trinidad when the British colonial authorities fired on participants in the annual Hosay procession (the local name for the Shi'a Festival of Muharram) who had been banned from entering the town"
Riot,39.1031° N,84.5120° W,1884,1884,"Mob of 10,000 people",,"The Cincinnati riots of 1884, also known as the Cincinnati Courthouse riots, were caused by public outrage over the decision of a jury to return a verdict of manslaughter in a clear case of murder."
Massacre,41.5875° N,109.2029° W,1885,1885,"When the rioting ended, at least 28 Chinese miners were dead and 15 were injured. Rioters burned 75 Chinese homes resulting in approximately US$150,000 in property damage",,"The riot, between Chinese immigrant miners and white immigrant miners, was the result of racial tensions and an ongoing labor dispute over the Union Pacific Coal Department's policy of paying Chinese miners lower wages than white miners."
Riot,47.2529° N,122.4443° W,1885,1885,,,"The Tacoma riot of 1885 took place in the city of Tacoma in present day U.S. state of Washington, which was a territory at the time. It involved mobs expelling Chinese immigrants from the city of Tacoma, Washington."
Riot,47.5301° N,122.0326° W,1885,1885,The attack was part of a widespread pattern of racially motivated violence against Chinese immigrants in the United States.,,"The Attack on Squak Valley Chinese laborers took place on September 7, 1885, in Squak Valley (now called Issaquah), Washington Territory, when a group of men fired their guns into several tents where a group of Chinese hop pickers were sleeping."
Riot,41.8781° N,87.6298° W,1886,1886,The Haymarket affair is generally considered significant as the origin of internationalMay Day observances for workers.,,"The Haymarket affair (also known as the Haymarket massacre or Haymarket riot) was the aftermath of a bombing that took place at a labor demonstration on Tuesday May 4, 1886, at Haymarket Square in Chicago."
Riot,47.6062° N,122.3321° W,1886,1886,The incident resulted in the removal of over 200 Chinese people from Seattle and left 2 militia men and 3 rioters seriously injured.,,"The Seattle riot of 1886 occurred on February 6–9, 1886, in Seattle, Washington, amidst risinganti-Chinese sentiment caused by intense labor competition and in the context of an ongoing struggle between labor and capital in the Western United States."
Riot,54.5973° N,5.9301° W,1886,1886,Officially thirty-one people were killed in the riots. Over four hundred arrests were made.,,The 1886 Belfast riots were a series of intense riots that occurred in Belfast during the summer and autumn of 1886.
Riot,43.0389° N,87.9065° W,1886,1886,,,Bay View Labor Riot
Riot,50.2660° N,5.0527° W,1896,1896,,,"The Newlyn riots were a major civil disturbance that occurred in Newlyn, Cornwall, UK on the three days beginning 18 May 1896 (Monday to Wednesday); it arose from the local fishery and the trade in fish."
Riot,34°13′24″N,77°54′44″W,1898,1898,"The event marks an era of more severe racial segregation and effective disenfranchisement of African-Americansthroughout the South, a shift already underway since passage by Mississippi of a new constitution in 1890 raising barriers to voter registration.",,"The Wilmington coup d'état of 1898, also known as the Wilmington massacre of 1898 or the Wilmington race riot of 1898, began in Wilmington, North Carolina on November 10, 1898 and continued for several days. It is considered a turning point in post-Reconstruction North Carolina politics."
Riot,29.9511° N,90.0715° W,1900,1900,28 people were killed in the conflict,,"The Robert Charles riots of 1900 in New Orleans, Louisiana were sparked after African American laborer Robert Charles fatally shot a white police officer and escaped arrest."
Riot,47.0105° N,28.8638° E,1903,1903,"In two days of rioting, 47 (some put the figure at 49) Jews were killed, 92 were severely wounded and 500 were slightly injured, 700 houses were destroyed, and 600 stores were pillaged.",,The Kishinev pogroms were an anti-Jewish riot that took place in Kishinev
Revolt,22.9068° S,43.1729° W,1904,1904,"From November 10 through 16, the city became a battlefield. The excited population looted shops, overturned and burned trams, made barricades, pulled out tracks, broke poles, and attacked government forces with rocks, sticks, and debris.",,"The Vaccine Revolt or Vaccine Rebellion (Portuguese: Revolta da Vacina) was a period of civil disorder which occurred in the city of Rio de Janeiro, Brazil (10–16 November 1904)."
Riot,35.6895° N,139.6917° E,1905,1905,"Before order was finally restored, angry mobs had destroyed or damaged more than 350 buildings, including the residence of the Home Minister and 70 percent of the police boxes in the city. Casualties included 17 people killed, over 450 policemen, 48 firemen and civilians injured, and hundreds arrested.",,"Hibiya incendiary incident was a major city-wide riot which erupted in Tokyo on 5 September 1905 in protest of the terms of the Treaty of Portsmouth, which ended the Russo-Japanese War of 1904-1905"
Riot,17.9614° S,122.2359° E,1905,1905,,,"Race riots - between Chinese, Japanese, Malay - Broome"
Riot,59.9343° N,30.3351° E,1905,1905,The events in St. Petersburg provoked public outrage and a series of massive strikes that spread quickly throughout the industrial centres of the Russian Empire.,,"Bloody Sunday or Red Sunday is the name given to the events of Sunday, 22 January [O.S. 9 January] 1905 in St Petersburg, Russia, when unarmed demonstrators led by Father Georgy Gapon were fired upon by soldiers of the Imperial Guard as they marched towards the Winter Palace to present a petition to Tsar Nicholas II of Russia."
Riot,33.7490° N,84.3880° W,1906,1906,Unofficial reports ranged from 10 -100 African Americans and 2 European Americans were killed during the riots.,,"The Atlanta race riot of 1906 was a mass civil disturbance in Atlanta, Georgia (USA), which began the evening of September 22 and lasted until September 24, 1906."
Riot,48.7491° N,122.4781° W,1907,1907,,,"A mob of 400–500 white men, predominantly members of the Asiatic Exclusion League, with intentions to exclude East Indian immigrants from the work force of the local lumber mills, attacked the homes of the South Asian Indians."
Riot,,,1907,1907,,,"The rioting reached its height five days later, on Tuesday, 10 December, when 100 medical students tried to pull the memorial down. The previous protests had been spontaneous, but this one was organized to coincide with the annual Oxford-Cambridge rugby match at Queen's Club, West Kensington."
Riot,39.7817° N,89.6501° W,1908,1908,,,"The Springfield race riot of 1908 was a mass civil disturbance in Springfield, Illinois, USA"
Riot,,,1910,1910,,,The Tonypandy riots of 1910 and 1911 (sometimes collectively known as the Rhondda riots) was a series of violent confrontations between coal miners and police that took place at various locations in and around the Rhondda mines of the Cambrian Combine
